id;tel;datenaissance;cin;grade
1;79693;2020-07-03;synergies;invoice Ergonomic software
2;36645;2020-07-03;Frozen override;Bedfordshire Human
3;27671;2020-07-03;Vanuatu lime;Markets Springs Supervisor
4;21403;2020-07-03;mesh Hawaii;archive Quality Licensed
5;7181;2020-07-03;transform Directives;COM Shoes
6;84460;2020-07-03;South Dakota Algerian Dinar;Stravenue
7;37962;2020-07-03;Courts;Sleek neutral Solomon Islands Dollar
8;91894;2020-07-03;Secured 1080p;Fantastic Steel
9;3044;2020-07-03;matrix Movies;Cotton Handcrafted Plastic Gloves optical
10;52293;2020-07-03;Baby bandwidth-monitored indigo;Practical Steel Shirt
