id;tel;cin;semsetre;section;etat;datenaissance
1;40540;Tonga Savings Account Money Market Account;43176;Tala exploit virtual;NONDIPLOME;2020-07-03
2;690;Planner;95208;Keyboard Wooden;DIPLOME;2020-07-03
3;43810;Incredible hard drive;87850;hack Solutions;DIPLOME;2020-07-03
4;87316;backing up Island;71177;Borders;NONDIPLOME;2020-07-03
5;12593;Avon Savings Account;21790;Auto Loan Account Rustic;NONDIPLOME;2020-07-03
6;33027;expedite;21856;Licensed Fresh;NONDIPLOME;2020-07-03
7;15821;optimize;48965;overriding web-enabled;DIPLOME;2020-07-03
8;91990;Handmade Wooden Bike Metal;89736;orchestrate firewall Licensed;DIPLOME;2020-07-03
9;99157;optical panel;57416;Keyboard Junction;NONDIPLOME;2020-07-03
10;60636;Somoni Botswana Pants;70649;knowledge base hacking;NONDIPLOME;2020-07-03
